2019-01-03 16:51:01,240 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.company:appl:1.0.0-BUILD-SNAPSHOT @ D:\GITHUB\CoderTechnology\TRAINING\SPRING-SECURITY\Spring4_0MavenMvc200BasicAuthenticate\pom.xml.
2019-01-03 16:51:06,771 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:51:06,800 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-01-03 16:51:06,818 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:51:06,820 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-01-03 16:51:11,679 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:51:11,680 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-01-03 16:51:11,684 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:51:11,686 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-01-03 16:51:11,776 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cn.guoyukun.jdbc:oracle-ojdbc6:jar:11.2.0.3.0 is missing, no dependency information available
2019-01-03 16:51:11,799 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:51:11,802 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-01-03 16:51:11,804 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:51:11,845 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-01-03 16:53:20,694 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:53:20,706 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-01-03 16:53:20,716 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:53:20,717 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-01-03 16:53:36,163 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:53:36,169 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-01-03 16:53:36,172 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:53:36,173 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-01-03 16:53:38,638 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:53:38,640 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 16:53:38,641 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:53:38,643 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 16:54:05,157 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:54:05,159 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-01-03 16:54:05,168 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:54:05,170 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-01-03 16:54:08,154 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:54:08,158 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-01-03 16:54:08,161 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:54:08,162 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-01-03 16:54:25,041 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:54:25,042 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-01-03 16:54:25,044 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:54:25,047 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-01-03 16:55:35,103 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:55:35,103 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 16:55:35,118 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:55:35,118 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 16:55:35,187 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:55:35,188 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-01-03 16:55:35,191 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:55:35,192 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-01-03 16:55:37,607 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:55:37,613 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-01-03 16:55:37,616 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:55:37,617 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-01-03 16:55:38,192 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:55:38,239 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-01-03 16:55:38,241 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:55:38,242 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-01-03 16:58:44,866 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:58:44,868 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 16:58:44,869 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:58:44,870 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 16:58:44,878 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:58:44,879 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 16:58:44,880 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 16:58:44,881 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 17:04:57,659 [Worker-44] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.jp.hr:Spring400_BasicAuth:0.0.1-SNAPSHOT @ D:\GITHUB\CoderTechnology\TRAINING\SPRING-SECURITY\Spring400_BasicAuth\pom.xml.
2019-01-03 17:04:57,991 [Worker-44] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Spring400_BasicAuth/src/main/java
2019-01-03 17:04:57,992 [Worker-44] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Spring400_BasicAuth/src/main/resources
2019-01-03 17:04:57,993 [Worker-44] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Spring400_BasicAuth/src/test/java
2019-01-03 17:04:57,993 [Worker-44] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Spring400_BasicAuth/src/test/resources
2019-01-03 17:04:58,385 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:04:58,386 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 17:04:58,398 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:04:58,415 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 17:05:24,687 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.company:appl:1.0.0-BUILD-SNAPSHOT @ D:\GITHUB\CoderTechnology\TRAINING\SPRING-SECURITY\Spring400_BasicAuth\pom.xml.
2019-01-03 17:05:24,966 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:05:24,967 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 17:05:24,968 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:05:24,969 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 17:05:24,969 [Worker-13] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of Spring400_BasicAuth
2019-01-03 17:05:24,970 [Worker-13] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for Spring400_BasicAuth
2019-01-03 17:05:24,974 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:maven-clean-plugin:jar:2.5 is missing, no dependency information available
2019-01-03 17:05:24,983 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:05:26,115 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:05:26,116 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 17:05:26,118 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:05:26,119 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 17:05:39,402 [Worker-53] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.company:appl:1.0.0-BUILD-SNAPSHOT @ D:\GITHUB\CoderTechnology\TRAINING\SPRING-SECURITY\Spring400_BasicAuth\pom.xml.
2019-01-03 17:05:39,634 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:05:39,635 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 17:05:39,636 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:05:39,637 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 17:05:39,637 [Worker-53] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of Spring400_BasicAuth
2019-01-03 17:05:39,637 [Worker-53] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for Spring400_BasicAuth
2019-01-03 17:05:39,641 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:06:04,115 [Worker-49] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2019-01-03 17:06:04,517 [Worker-49] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.company:appl:1.0.0-BUILD-SNAPSHOT @ D:\GITHUB\CoderTechnology\TRAINING\SPRING-SECURITY\Spring400_BasicAuth\pom.xml.
2019-01-03 17:06:04,575 [Worker-49] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.company:appl:1.0.0-BUILD-SNAPSHOT @ D:\GITHUB\CoderTechnology\TRAINING\SPRING-SECURITY\Spring4_0MavenMvc210FormAuthenticate\pom.xml.
2019-01-03 17:06:04,598 [Worker-49] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.company:appl:1.0.0-BUILD-SNAPSHOT @ D:\GITHUB\CoderTechnology\TRAINING\SPRING-SECURITY\Spring4_0MavenMvc200BasicAuthenticate\pom.xml.
2019-01-03 17:06:05,130 [Worker-49] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Spring400_BasicAuth/src/main/java
2019-01-03 17:06:05,131 [Worker-49] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Spring400_BasicAuth/src/main/resources
2019-01-03 17:06:05,131 [Worker-49] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Spring400_BasicAuth/src/test/java
2019-01-03 17:06:05,131 [Worker-49] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Spring400_BasicAuth/src/test/resources
2019-01-03 17:06:05,663 [Worker-49] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for Spring400_BasicAuth
2019-01-03 17:06:05,671 [Worker-49] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2019-01-03 17:06:05,893 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:06:05,894 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 17:06:05,947 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:06:05,949 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 17:06:05,949 [Worker-53] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of Spring400_BasicAuth
2019-01-03 17:06:05,949 [Worker-53] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for Spring400_BasicAuth
2019-01-03 17:06:05,955 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:06:06,025 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:06:06,026 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 17:06:06,027 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:06:06,028 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 17:06:06,077 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:06:06,078 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 17:06:06,079 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:06:06,079 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 17:06:07,121 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:06:07,122 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 17:06:07,123 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:06:07,123 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 17:06:20,667 [Worker-48] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.jp.hr:appl:1.0.0-BUILD-SNAPSHOT @ D:\GITHUB\CoderTechnology\TRAINING\SPRING-SECURITY\Spring400_BasicAuth\pom.xml.
2019-01-03 17:06:20,881 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:06:20,882 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 17:06:20,883 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:06:20,883 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 17:06:20,884 [Worker-48] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of Spring400_BasicAuth
2019-01-03 17:06:20,884 [Worker-48] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for Spring400_BasicAuth
2019-01-03 17:06:20,887 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:06:53,787 [Worker-51] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.jp.hr:appl:1.0.0-BUILD-SNAPSHOT @ D:\GITHUB\CoderTechnology\TRAINING\SPRING-SECURITY\Spring400_BasicAuth\pom.xml.
2019-01-03 17:06:54,236 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:06:54,239 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 17:06:54,241 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:06:54,241 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 17:06:54,242 [Worker-51] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of Spring400_BasicAuth
2019-01-03 17:06:54,242 [Worker-51] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for Spring400_BasicAuth
2019-01-03 17:06:54,245 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:07:32,322 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:07:32,323 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 17:07:32,331 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:07:32,332 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 17:10:26,237 [Worker-56] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.jp.hr:appl:1.0.0-BUILD-SNAPSHOT @ D:\GITHUB\CoderTechnology\TRAINING\SPRING-SECURITY\Spring400_BasicAuth\pom.xml.
2019-01-03 17:10:26,605 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:10:26,607 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 17:10:26,608 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:10:26,609 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-03 17:10:26,610 [Worker-56] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of Spring400_BasicAuth
2019-01-03 17:10:26,610 [Worker-56] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for Spring400_BasicAuth
2019-01-03 17:10:26,614 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-03 17:10:34,950 [Worker-51] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
